#queryIndex	queryItem	stringId	preferredName	annotation
16	CCL22	9606.ENSP00000219235	CCL22	C-C motif chemokine 22; May play a role in the trafficking of activated/effector T-lymphocytes to inflammatory sites and other aspects of activated T-lymphocyte physiology. Chemotactic for monocytes, dendritic cells and natural killer cells. Mild chemoattractant for primary activated T-lymphocytes and a potent chemoattractant for chronically activated T-lymphocytes but has no chemoattractant activity for neutrophils, eosinophils, and resting T-lymphocytes. Binds to CCR4. Processed forms MDC(3-69), MDC(5-69) and MDC(7-69) seem not be active; Belongs to the intercrine beta (chemokine CC) [...] 
17	CCL23	9606.ENSP00000481357	CCL23	C-C motif chemokine ligand 23
18	CCL24	9606.ENSP00000400533	CCL24	C-C motif chemokine 24; Chemotactic for resting T-lymphocytes, and eosinophils. Has lower chemotactic activity for neutrophils but none for monocytes and activated lymphocytes. Is a strong suppressor of colony formation by a multipotential hematopoietic progenitor cell line. Binds to CCR3; Belongs to the intercrine beta (chemokine CC) family
19	CCL25	9606.ENSP00000375086	CCL25	C-C motif chemokine 25; Potentially involved in T-cell development. Recombinant protein shows chemotactic activity on thymocytes, macrophages, THP-1 cells, and dendritics cells but is inactive on peripheral blood lymphocytes and neutrophils. Binds to CCR9. Isoform 2 is an antagonist of isoform 1. Binds to atypical chemokine receptor ACKR4 and mediates the recruitment of beta-arrestin (ARRB1/2) to ACKR4; Belongs to the intercrine beta (chemokine CC) family
20	CCL26	9606.ENSP00000378365	CCL26	C-C motif chemokine 26; Chemoattractant for eosinophils and basophils. Acts as a ligand for C-C chemokine receptor CCR3 which triggers Ca(2+) mobilization in eosinophils; Belongs to the intercrine beta (chemokine CC) family
21	CCL27	9606.ENSP00000259631	CCL27	C-C motif chemokine 27; Chemotactic factor that attracts skin-associated memory T-lymphocytes. May play a role in mediating homing of lymphocytes to cutaneous sites. Binds to CCR10; Belongs to the intercrine beta (chemokine CC) family
22	CCL28	9606.ENSP00000354416	CCL28	C-C motif chemokine 28; Chemotactic activity for resting CD4, CD8 T-cells and eosinophils. Binds to CCR3 and CCR10 and induces calcium mobilization in a dose-dependent manner; Chemokine ligands
23	CCL3	9606.ENSP00000477908	CCL3	C-C motif chemokine 3; Monokine with inflammatory and chemokinetic properties. Binds to CCR1, CCR4 and CCR5. One of the major HIV-suppressive factors produced by CD8+ T-cells. Recombinant MIP-1-alpha induces a dose-dependent inhibition of different strains of HIV-1, HIV-2, and simian immunodeficiency virus (SIV); Belongs to the intercrine beta (chemokine CC) family
24	CCL4	9606.ENSP00000482259	CCL4	C-C motif chemokine 4; Monokine with inflammatory and chemokinetic properties. Binds to CCR5. One of the major HIV-suppressive factors produced by CD8+ T-cells. Recombinant MIP-1-beta induces a dose-dependent inhibition of different strains of HIV-1, HIV-2, and simian immunodeficiency virus (SIV). The processed form MIP-1-beta(3-69) retains the abilities to induce down-modulation of surface expression of the chemokine receptor CCR5 and to inhibit the CCR5- mediated entry of HIV-1 in T-cells. MIP-1-beta(3-69) is also a ligand for CCR1 and CCR2 isoform B; Belongs to the intercrine beta ( [...] 
25	CCL5	9606.ENSP00000474412	CCL5	C-C motif chemokine 5; Chemoattractant for blood monocytes, memory T-helper cells and eosinophils. Causes the release of histamine from basophils and activates eosinophils. May activate several chemokine receptors including CCR1, CCR3, CCR4 and CCR5. One of the major HIV-suppressive factors produced by CD8+ T-cells. Recombinant RANTES protein induces a dose-dependent inhibition of different strains of HIV-1, HIV-2, and simian immunodeficiency virus (SIV). The processed form RANTES(3-68) acts as a natural chemotaxis inhibitor and is a more potent inhibitor of HIV-1- infection. The secon [...] 
26	CCL7	9606.ENSP00000367832	CCL7	C-C motif chemokine 7; Chemotactic factor that attracts monocytes and eosinophils, but not neutrophils. Augments monocyte anti-tumor activity. Also induces the release of gelatinase B. This protein can bind heparin. Binds to CCR1, CCR2 and CCR3; Chemokine ligands
27	CCL8	9606.ENSP00000378118	CCL8	C-C motif chemokine 8; Chemotactic factor that attracts monocytes, lymphocytes, basophils and eosinophils. May play a role in neoplasia and inflammatory host responses. This protein can bind heparin. The processed form MCP-2(6-76) does not show monocyte chemotactic activity, but inhibits the chemotactic effect most predominantly of CCL7, and also of CCL2 and CCL5 and CCL8; Belongs to the intercrine beta (chemokine CC) family
28	CD40LG	9606.ENSP00000359663	CD40LG	CD40 ligand; Cytokine that binds to CD40/TNFRSF5. Costimulates T-cell proliferation and cytokine production. Its cross-linking on T-cells generates a costimulatory signal which enhances the production of IL4 and IL10 in conjunction with the TCR/CD3 ligation and CD28 costimulation. Induces the activation of NF-kappa-B and kinases MAPK8 and PAK2 in T- cells. Induces tyrosine phosphorylation of isoform 3 of CD28. Mediates B-cell proliferation in the absence of co-stimulus as well as IgE production in the presence of IL4. Involved in immunoglobulin class switching (By similarity); Belongs  [...] 
29	CDK5	9606.ENSP00000419782	CDK5	Cyclin-dependent-like kinase 5; Proline-directed serine/threonine-protein kinase essential for neuronal cell cycle arrest and differentiation and may be involved in apoptotic cell death in neuronal diseases by triggering abortive cell cycle re-entry. Interacts with D1 and D3- type G1 cyclins. Phosphorylates SRC, NOS3, VIM/vimentin, p35/CDK5R1, MEF2A, SIPA1L1, SH3GLB1, PXN, PAK1, MCAM/MUC18, SEPT5, SYN1, DNM1, AMPH, SYNJ1, CDK16, RAC1, RHOA, CDC42, TONEBP/NFAT5, MAPT/TAU, MAP1B, histone H1, p53/TP53, HDAC1, APEX1, PTK2/FAK1, huntingtin/HTT, ATM, MAP2, NEFH and NEFM. Regulates several ne [...] 
30	CKLF	9606.ENSP00000264001	CKLF	Chemokine-like factor; May play an important role in inflammation and regeneration of skeletal muscle. Partly inhibited by interleukin 10
31	CNTF	9606.ENSP00000355370	CNTF	Ciliary neurotrophic factor; CNTF is a survival factor for various neuronal cell types. Seems to prevent the degeneration of motor axons after axotomy; Interleukin 6 type cytokine family
32	CSF1	9606.ENSP00000327513	CSF1	Macrophage colony-stimulating factor 1; Cytokine that plays an essential role in the regulation of survival, proliferation and differentiation of hematopoietic precursor cells, especially mononuclear phagocytes, such as macrophages and monocytes. Promotes the release of proinflammatory chemokines, and thereby plays an important role in innate immunity and in inflammatory processes. Plays an important role in the regulation of osteoclast proliferation and differentiation, the regulation of bone resorption, and is required for normal bone development. Required for normal male and female  [...] 
33	CSF2	9606.ENSP00000296871	CSF2	Granulocyte-macrophage colony-stimulating factor; Cytokine that stimulates the growth and differentiation of hematopoietic precursor cells from various lineages, including granulocytes, macrophages, eosinophils and erythrocytes; Belongs to the GM-CSF family
34	CSF3	9606.ENSP00000225474	CSF3	Granulocyte colony-stimulating factor; Granulocyte/macrophage colony-stimulating factors are cytokines that act in hematopoiesis by controlling the production, differentiation, and function of 2 related white cell populations of the blood, the granulocytes and the monocytes-macrophages. This CSF induces granulocytes; Belongs to the IL-6 superfamily
35	CTF1	9606.ENSP00000279804	CTF1	Cardiotrophin-1; Induces cardiac myocyte hypertrophy in vitro. Binds to and activates the ILST/gp130 receptor; Interleukin 6 type cytokine family
36	CX3CL1	9606.ENSP00000006053	CX3CL1	Fractalkine; Acts as a ligand for both CX3CR1 and integrins. Binds to CX3CR1. Binds to integrins ITGAV:ITGB3 and ITGA4:ITGB1. Can activate integrins in both a CX3CR1-dependent and CX3CR1-independent manner. In the presence of CX3CR1, activates integrins by binding to the classical ligand-binding site (site 1) in integrins. In the absence of CX3CR1, binds to a second site (site 2) in integrins which is distinct from site 1 and enhances the binding of other integrin ligands to site 1. The soluble form is chemotactic for T-cells and monocytes and not for neutrophils. The membrane-bound fo [...] 
37	CXCL1	9606.ENSP00000379110	CXCL1	Growth-regulated alpha protein; Has chemotactic activity for neutrophils. May play a role in inflammation and exerts its effects on endothelial cells in an autocrine fashion. In vitro, the processed forms GRO- alpha(4-73), GRO-alpha(5-73) and GRO-alpha(6-73) show a 30-fold higher chemotactic activity; Chemokine ligands
38	CXCL10	9606.ENSP00000305651	CXCL10	C-X-C motif chemokine 10; Chemotactic for monocytes and T-lymphocytes. Binds to CXCR3; Belongs to the intercrine alpha (chemokine CxC) family
39	CXCL11	9606.ENSP00000306884	CXCL11	C-X-C motif chemokine 11; Chemotactic for interleukin-activated T-cells but not unstimulated T-cells, neutrophils or monocytes. Induces calcium release in activated T-cells. Binds to CXCR3. May play an important role in CNS diseases which involve T-cell recruitment. May play a role in skin immune responses; Belongs to the intercrine alpha (chemokine CxC) family
40	CXCL12	9606.ENSP00000379140	CXCL12	Stromal cell-derived factor 1; Chemoattractant active on T-lymphocytes, monocytes, but not neutrophils. Activates the C-X-C chemokine receptor CXCR4 to induce a rapid and transient rise in the level of intracellular calcium ions and chemotaxis. Also binds to atypical chemokine receptor ACKR3, which activates the beta-arrestin pathway and acts as a scavenger receptor for SDF-1. SDF-1-beta(3-72) and SDF-1- alpha(3-67) show a reduced chemotactic activity. Binding to cell surface proteoglycans seems to inhibit formation of SDF-1-alpha(3- 67) and thus to preserve activity on local sites. Ac [...] 
41	CXCL13	9606.ENSP00000286758	CXCL13	C-X-C motif chemokine 13; Chemotactic for B-lymphocytes but not for T-lymphocytes, monocytes and neutrophils. Does not induce calcium release in B- lymphocytes. Binds to BLR1/CXCR5; Chemokine ligands
42	CXCL14	9606.ENSP00000337065	CXCL14	C-X-C motif chemokine 14; Potent chemoattractant for neutrophils, and weaker for dendritic cells. Not chemotactic for T-cells, B-cells, monocytes, natural killer cells or granulocytes. Does not inhibit proliferation of myeloid progenitors in colony formation assays; Chemokine ligands
43	CXCL16	9606.ENSP00000293778	CXCL16	C-X-C motif chemokine 16; Acts as a scavenger receptor on macrophages, which specifically binds to OxLDL (oxidized low density lipoprotein), suggesting that it may be involved in pathophysiology such as atherogenesis (By similarity). Induces a strong chemotactic response. Induces calcium mobilization. Binds to CXCR6/Bonzo; Belongs to the intercrine alpha (chemokine CxC) family
44	CXCL2	9606.ENSP00000427279	CXCL2	C-X-C motif chemokine 2; Produced by activated monocytes and neutrophils and expressed at sites of inflammation. Hematoregulatory chemokine, which, in vitro, suppresses hematopoietic progenitor cell proliferation. GRO-beta(5-73) shows a highly enhanced hematopoietic activity
45	CXCL3	9606.ENSP00000296026	CXCL3	C-X-C motif chemokine 3; Ligand for CXCR2 (By similarity). Has chemotactic activity for neutrophils. May play a role in inflammation and exert its effects on endothelial cells in an autocrine fashion. In vitro, the processed form GRO-gamma(5-73) shows a fivefold higher chemotactic activity for neutrophilic granulocytes; Chemokine ligands
46	CXCL5	9606.ENSP00000296027	CXCL5	C-X-C motif chemokine 5; Involved in neutrophil activation. In vitro, ENA-78(8- 78) and ENA-78(9-78) show a threefold higher chemotactic activity for neutrophil granulocytes; Chemokine ligands
47	CXCL6	9606.ENSP00000226317	CXCL6	C-X-C motif chemokine 6; Chemotactic for neutrophil granulocytes. Signals through binding and activation of its receptors (CXCR1 and CXCR2). In addition to its chemotactic and angiogenic properties, it has strong antibacterial activity against Gram-positive and Gram- negative bacteria (90-fold-higher when compared to CXCL5 and CXCL7); Chemokine ligands
48	CXCL8	9606.ENSP00000306512	CXCL8	Interleukin-8; IL-8 is a chemotactic factor that attracts neutrophils, basophils, and T-cells, but not monocytes. It is also involved in neutrophil activation. It is released from several cell types in response to an inflammatory stimulus. IL-8(6-77) has a 5-10-fold higher activity on neutrophil activation, IL-8(5-77) has increased activity on neutrophil activation and IL-8(7-77) has a higher affinity to receptors CXCR1 and CXCR2 as compared to IL-8(1-77), respectively; Chemokine ligands
49	CXCL9	9606.ENSP00000354901	CXCL9	C-X-C motif chemokine 9; Cytokine that affects the growth, movement, or activation state of cells that participate in immune and inflammatory response. Chemotactic for activated T-cells. Binds to CXCR3; Belongs to the intercrine alpha (chemokine CxC) family
50	ERAP1	9606.ENSP00000296754	ERAP1	Endoplasmic reticulum aminopeptidase 1; Aminopeptidase that plays a central role in peptide trimming, a step required for the generation of most HLA class I- binding peptides. Peptide trimming is essential to customize longer precursor peptides to fit them to the correct length required for presentation on MHC class I molecules. Strongly prefers substrates 9-16 residues long. Rapidly degrades 13-mer to a 9-mer and then stops. Preferentially hydrolyzes the residue Leu and peptides with a hydrophobic C-terminus, while it has weak activity toward peptides with charged C-terminus. May play [...] 
51	ERBB2	9606.ENSP00000269571	ERBB2	Receptor tyrosine-protein kinase erbB-2; Protein tyrosine kinase that is part of several cell surface receptor complexes, but that apparently needs a coreceptor for ligand binding. Essential component of a neuregulin-receptor complex, although neuregulins do not interact with it alone. GP30 is a potential ligand for this receptor. Regulates outgrowth and stabilization of peripheral microtubules (MTs). Upon ERBB2 activation, the MEMO1-RHOA-DIAPH1 signaling pathway elicits the phosphorylation and thus the inhibition of GSK3B at cell membrane. This prevents the phosphorylation of APC and  [...] 
52	ERBIN	9606.ENSP00000426632	ERBB2IP	Erbin; Acts as an adapter for the receptor ERBB2, in epithelia. By binding the unphosphorylated 'Tyr-1248' of receptor ERBB2, it may contribute to stabilize this unphosphorylated state. Inhibits NOD2-dependent NF-kappa-B signaling and proinflammatory cytokine secretion; Belongs to the LAP (LRR and PDZ) protein family
53	FGF10	9606.ENSP00000264664	FGF10	Fibroblast growth factor 10; Plays an important role in the regulation of embryonic development, cell proliferation and cell differentiation. Required for normal branching morphogenesis. May play a role in wound healing; Belongs to the heparin-binding growth factors family
54	GDF15	9606.ENSP00000252809	GDF15	Growth differentiation factor 15; Belongs to the TGF-beta family
55	GH1	9606.ENSP00000312673	GH1	Somatotropin; Plays an important role in growth control. Its major role in stimulating body growth is to stimulate the liver and other tissues to secrete IGF-1. It stimulates both the differentiation and proliferation of myoblasts. It also stimulates amino acid uptake and protein synthesis in muscle and other tissues; Endogenous ligands
56	GLMN	9606.ENSP00000359385	GLMN	Glomulin; Essential for normal development of the vasculature. May represent a naturally occurring ligand of the immunophilins FKBP59 and FKBP12. May function as an membrane anchoring protein. Isoform 1 may stimulate the p70S6K pathway. Isoform 2 may inhibit cell proliferation and increase IL2 production
57	IFNA13	9606.ENSP00000480467	IFNA13	Interferon alpha-1/13; Produced by macrophages, IFN-alpha have antiviral activities. Interferon stimulates the production of two enzymes: a protein kinase and an oligoadenylate synthetase; Interferons
58	IFNA14	9606.ENSP00000369571	IFNA14	Interferon alpha-14; Produced by macrophages, IFN-alpha have antiviral activities. Interferon stimulates the production of two enzymes: a protein kinase and an oligoadenylate synthetase; Interferons
59	IFNA16	9606.ENSP00000369564	IFNA16	Interferon alpha-16; Produced by macrophages, IFN-alpha have antiviral activities. Interferon stimulates the production of two enzymes: a protein kinase and an oligoadenylate synthetase; Interferons
60	IFNA17	9606.ENSP00000411940	IFNA17	Interferon alpha-17; Produced by macrophages, IFN-alpha have antiviral activities. Interferon stimulates the production of two enzymes: a protein kinase and an oligoadenylate synthetase; Interferons
61	IFNA2	9606.ENSP00000369554	IFNA2	Interferon alpha-2; Produced by macrophages, IFN-alpha have antiviral activities; Interferons
62	IFNA21	9606.ENSP00000369574	IFNA21	Interferon alpha-21; Produced by macrophages, IFN-alpha have antiviral activities. Interferon stimulates the production of two enzymes: a protein kinase and an oligoadenylate synthetase; Interferons
63	IFNA4	9606.ENSP00000412897	IFNA4	Interferon alpha-4; Produced by macrophages, IFN-alpha have antiviral activities. Interferon stimulates the production of two enzymes: a protein kinase and an oligoadenylate synthetase; Belongs to the alpha/beta interferon family
64	IFNA5	9606.ENSP00000484479	IFNA5	Interferon alpha-5; Produced by macrophages, IFN-alpha have antiviral activities. Interferon stimulates the production of two enzymes: a protein kinase and an oligoadenylate synthetase; Interferons
65	IFNA7	9606.ENSP00000239347	IFNA7	Interferon alpha-7; Produced by macrophages, IFN-alpha have antiviral activities. Interferon stimulates the production of two enzymes: a protein kinase and an oligoadenylate synthetase; Interferons
66	IFNA8	9606.ENSP00000369553	IFNA8	Interferon alpha-8; Produced by macrophages, IFN-alpha have antiviral activities. Interferon stimulates the production of two enzymes: a protein kinase and an oligoadenylate synthetase; Interferons
67	IFNG	9606.ENSP00000229135	IFNG	Interferon gamma; Produced by lymphocytes activated by specific antigens or mitogens. IFN-gamma, in addition to having antiviral activity, has important immunoregulatory functions. It is a potent activator of macrophages, it has antiproliferative effects on transformed cells and it can potentiate the antiviral and antitumor effects of the type I interferons; Belongs to the type II (or gamma) interferon family
68	IFNK	9606.ENSP00000276943	IFNK	Interferon kappa; May play a role in the regulation of immune cell function. Cytokine that imparts cellular protection against viral infection in a species-specific manner. Activates the interferon- stimulated response element signaling pathway. It is able to directly modulate cytokine release from monocytes and dendritic cells. Binds heparin
69	IFNL1	9606.ENSP00000329991	IFNL1	Interferon lambda-1; Cytokine with antiviral, antitumour and immunomodulatory activities. Plays a critical role in the antiviral host defense, predominantly in the epithelial tissues. Acts as a ligand for the heterodimeric class II cytokine receptor composed of IL10RB and IFNLR1, and receptor engagement leads to the activation of the JAK/STAT signaling pathway resulting in the expression of IFN- stimulated genes (ISG), which mediate the antiviral state. Has a restricted receptor distribution and therefore restricted targets: is primarily active in epithelial cells and this cell type- s [...] 
70	IL12A	9606.ENSP00000303231	IL12A	Interleukin-12 subunit alpha; Cytokine that can act as a growth factor for activated T and NK cells, enhance the lytic activity of NK/lymphokine- activated Killer cells, and stimulate the production of IFN-gamma by resting PBMC; Interleukins
71	IL12B	9606.ENSP00000231228	IL12B	Interleukin-12 subunit beta; Cytokine that can act as a growth factor for activated T and NK cells, enhance the lytic activity of NK/lymphokine- activated killer cells, and stimulate the production of IFN-gamma by resting PBMC; Belongs to the type I cytokine receptor family. Type 3 subfamily
72	IL17A	9606.ENSP00000344192	IL17A	Interleukin-17A; Ligand for IL17RA and IL17RC. The heterodimer formed by IL17A and IL17F is a ligand for the heterodimeric complex formed by IL17RA and IL17RC. Involved in inducing stromal cells to produce proinflammatory and hematopoietic cytokines; Belongs to the IL-17 family
73	IL17B	9606.ENSP00000261796	IL17B	Interleukin-17B; Stimulates the release of tumor necrosis factor alpha and IL-1-beta from the monocytic cell line THP-1; Interleukins
74	IL17C	9606.ENSP00000244241	IL17C	Interleukin-17C; Cytokine that plays a crucial role in innate immunity of the epithelium, including to intestinal bacterial pathogens, in an autocrine manner. Stimulates the production of antibacterial peptides and proinflammatory molecules for host defense by signaling through the NF-kappa-B and MAPK pathways. Acts synergically with IL22 in inducing the expression of antibacterial peptides, including S100A8, S100A9, REG3A and REG3G. Synergy is also observed with TNF and IL1B in inducing DEFB2 from keratinocytes. Depending on the type of insult, may have both protective and pathogenic  [...] 
75	IL17F	9606.ENSP00000337432	IL17F	Interleukin-17F; Ligand for IL17RA and IL17RC. The heterodimer formed by IL17A and IL17F is a ligand for the heterodimeric complex formed by IL17RA and IL17RC. Involved in stimulating the production of other cytokines such as IL6, IL8 and CSF2, and in regulation of cartilage matrix turnover. Also involved in stimulating the proliferation of peripheral blood mononuclear cells and T-cells and in inhibition of angiogenesis. Plays a role in the induction of neutrophilia in the lungs and in the exacerbation of antigen-induced pulmonary allergic inflammation (By similarity); Belongs to the I [...] 
76	IL19	9606.ENSP00000343000	IL19	Interleukin-19; May play some important roles in inflammatory responses. Up-regulates IL-6 and TNF-alpha and induces apoptosis (By similarity); Interleukins
77	IL1RN	9606.ENSP00000259206	IL1RN	Interleukin-1 receptor antagonist protein; Inhibits the activity of interleukin-1 by binding to receptor IL1R1 and preventing its association with the coreceptor IL1RAP for signaling. Has no interleukin-1 like activity. Binds functional interleukin-1 receptor IL1R1 with greater affinity than decoy receptor IL1R2; however, the physiological relevance of the latter association is unsure; Endogenous ligands
78	IL2	9606.ENSP00000226730	IL2	Interleukin-2; Produced by T-cells in response to antigenic or mitogenic stimulation, this protein is required for T-cell proliferation and other activities crucial to regulation of the immune response. Can stimulate B-cells, monocytes, lymphokine- activated killer cells, natural killer cells, and glioma cells; Interleukins
79	IL20	9606.ENSP00000356065	IL20	Interleukin-20; Proinflammatory and angiogenic cytokine that may be involved in epidermal function and psoriasis. Angiogenic and proliferative activities are antagonized by IL10. May act through STAT3; Belongs to the IL-10 family
80	IL21	9606.ENSP00000264497	IL21	Interleukin-21; Cytokine with immunoregulatory activity. May promote the transition between innate and adaptive immunity. Induces the production of IgG(1) and IgG(3) in B-cells (By similarity). May play a role in proliferation and maturation of natural killer (NK) cells in synergy with IL15. May regulate proliferation of mature B- and T-cells in response to activating stimuli. In synergy with IL15 and IL18 stimulates interferon gamma production in T-cells and NK cells. During T-cell mediated immune response may inhibit dendritic cells (DC) activation and maturation; Interleukins
81	IL25	9606.ENSP00000328111	IL25	Interleukin-25; Induces activation of NF-kappa-B and stimulates production of the proinflammatory chemokine IL-8. Proinflammatory cytokine favoring Th2-type immune responses; Belongs to the IL-17 family
82	IL27	9606.ENSP00000349365	IL27	Interleukin-27 subunit alpha; Associates with EBI3 to form the IL-27 interleukin, a heterodimeric cytokine which functions in innate immunity. IL-27 has pro- and anti-inflammatory properties, that can regulate T- helper cell development, suppress T-cell proliferation, stimulate cytotoxic T-cell activity, induce isotype switching in B-cells, and that has diverse effects on innate immune cells. Among its target cells are CD4 T-helper cells which can differentiate in type 1 effector cells (TH1), type 2 effector cells (TH2) and IL17 producing helper T-cells (TH17). It drives rapid clonal e [...] 
83	IL3	9606.ENSP00000296870	IL3	Interleukin-3; Granulocyte/macrophage colony-stimulating factors are cytokines that act in hematopoiesis by controlling the production, differentiation, and function of 2 related white cell populations of the blood, the granulocytes and the monocytes-macrophages; Interleukins
84	IL36RN	9606.ENSP00000376896	IL36RN	Interleukin-36 receptor antagonist protein; Inhibits the activity of interleukin-36 (IL36A,IL36B and IL36G) by binding to receptor IL1RL2 and preventing its association with the coreceptor IL1RAP for signaling. Part of the IL-36 signaling system that is thought to be present in epithelial barriers and to take part in local inflammatory response; similar to the IL-1 system with which it shares the coreceptor. Proposed to play a role in skin inflammation. May be involved in the innate immune response to fungal pathogens, such as Aspergillus fumigatus. May activate an anti-inflammatory si [...] 
